ID,Name,Internal Name
1,Iron Pickaxe,IronPickaxe
2,Dirt Block,DirtBlock
3,Stone Block,StoneBlock
4,Iron Broadsword,IronBroadsword
5,Mushroom,Mushroom
6,Iron Shortsword,IronShortsword
7,Iron Hammer,IronHammer
8,Torch,Torch
9,Wood,Wood
10,Iron Axe,IronAxe
11,Iron Ore,IronOre
12,Copper Ore,CopperOre
13,Gold Ore,GoldOre
14,Silver Ore,SilverOre
15,Copper Watch,CopperWatch
16,Silver Watch,SilverWatch
17,Gold Watch,GoldWatch
18,Depth Meter,DepthMeter
19,Gold Bar,GoldBar
20,Copper Bar,CopperBar
21,Silver Bar,SilverBar
22,Iron Bar,IronBar
23,Gel,Gel
24,Wooden Sword,WoodenSword
25,Wooden Door,WoodenDoor
26,Stone Wall,StoneWall
27,Acorn,Acorn
28,Lesser Healing Potion,LesserHealingPotion
29,Life Crystal,LifeCrystal
30,Dirt Wall,DirtWall
31,Bottle,Bottle
32,Wooden Table,WoodenTable
33,Furnace,Furnace
34,Wooden Chair,WoodenChair
35,Iron Anvil,IronAnvil
36,Work Bench,WorkBench
37,Goggles,Goggles
38,Lens,Lens
39,Wooden Bow,WoodenBow
40,Wooden Arrow,WoodenArrow
41,Flaming Arrow,FlamingArrow
42,Shuriken,Shuriken
43,Suspicious Looking Eye,SuspiciousLookingEye
44,Demon Bow,DemonBow
45,War Axe of the Night,WarAxeoftheNight
46,Light's Bane,LightsBane
47,Unholy Arrow,UnholyArrow
48,Chest,Chest
49,Band of Regeneration,BandofRegeneration
50,Magic Mirror,MagicMirror
51,Jester's Arrow,JestersArrow
52,Angel Statue,AngelStatue
53,Cloud in a Bottle,CloudinaBottle
54,Hermes Boots,HermesBoots
55,Enchanted Boomerang,EnchantedBoomerang
56,Demonite Ore,DemoniteOre
57,Demonite Bar,DemoniteBar
58,Heart,Heart
59,Corrupt Seeds,CorruptSeeds
60,Vile Mushroom,VileMushroom
61,Ebonstone Block,EbonstoneBlock
62,Grass Seeds,GrassSeeds
63,Sunflower,Sunflower
64,Vilethorn,Vilethorn
65,Starfury,Starfury
66,Purification Powder,PurificationPowder
67,Vile Powder,VilePowder
68,Rotten Chunk,RottenChunk
69,Worm Tooth,WormTooth
70,Worm Food,WormFood
71,Copper Coin,CopperCoin
72,Silver Coin,SilverCoin
73,Gold Coin,GoldCoin
74,Platinum Coin,PlatinumCoin
75,Fallen Star,FallenStar
76,Copper Greaves,CopperGreaves
77,Iron Greaves,IronGreaves
78,Silver Greaves,SilverGreaves
79,Gold Greaves,GoldGreaves
80,Copper Chainmail,CopperChainmail
81,Iron Chainmail,IronChainmail
82,Silver Chainmail,SilverChainmail
83,Gold Chainmail,GoldChainmail
84,Grappling Hook,GrapplingHook
85,Chain,Chain
86,Shadow Scale,ShadowScale
87,Piggy Bank,PiggyBank
88,Mining Helmet,MiningHelmet
89,Copper Helmet,CopperHelmet
90,Iron Helmet,IronHelmet
91,Silver Helmet,SilverHelmet
92,Gold Helmet,GoldHelmet
93,Wood Wall,WoodWall
94,Wood Platform,WoodPlatform
95,Flintlock Pistol,FlintlockPistol
96,Musket,Musket
97,Musket Ball,MusketBall
98,Minishark,Minishark
99,Iron Bow,IronBow
100,Shadow Greaves,ShadowGreaves
101,Shadow Scalemail,ShadowScalemail
102,Shadow Helmet,ShadowHelmet
103,Nightmare Pickaxe,NightmarePickaxe
104,The Breaker,TheBreaker
105,Candle,Candle
106,Copper Chandelier,CopperChandelier
107,Silver Chandelier,SilverChandelier
108,Gold Chandelier,GoldChandelier
109,Mana Crystal,ManaCrystal
110,Lesser Mana Potion,LesserManaPotion
111,Band of Starpower,BandofStarpower
112,Flower of Fire,FlowerofFire
113,Magic Missile,MagicMissile
114,Dirt Rod,DirtRod
115,Shadow Orb,ShadowOrb
116,Meteorite,Meteorite
117,Meteorite Bar,MeteoriteBar
118,Hook,Hook
119,Flamarang,Flamarang
120,Molten Fury,MoltenFury
121,Fiery Greatsword,FieryGreatsword
122,Molten Pickaxe,MoltenPickaxe
123,Meteor Helmet,MeteorHelmet
124,Meteor Suit,MeteorSuit
125,Meteor Leggings,MeteorLeggings
126,Bottled Water,BottledWater
127,Space Gun,SpaceGun
128,Rocket Boots,RocketBoots
129,Gray Brick,GrayBrick
130,Gray Brick Wall,GrayBrickWall
131,Red Brick,RedBrick
132,Red Brick Wall,RedBrickWall
133,Clay Block,ClayBlock
134,Blue Brick,BlueBrick
135,Blue Brick Wall,BlueBrickWall
136,Chain Lantern,ChainLantern
137,Green Brick,GreenBrick
138,Green Brick Wall,GreenBrickWall
139,Pink Brick,PinkBrick
140,Pink Brick Wall,PinkBrickWall
141,Gold Brick,GoldBrick
142,Gold Brick Wall,GoldBrickWall
143,Silver Brick,SilverBrick
144,Silver Brick Wall,SilverBrickWall
145,Copper Brick,CopperBrick
146,Copper Brick Wall,CopperBrickWall
147,Spike,Spike
148,Water Candle,WaterCandle
149,Book,Book
150,Cobweb,Cobweb
151,Necro Helmet,NecroHelmet
152,Necro Breastplate,NecroBreastplate
153,Necro Greaves,NecroGreaves
154,Bone,Bone
155,Muramasa,Muramasa
156,Cobalt Shield,CobaltShield
157,Aqua Scepter,AquaScepter
158,Lucky Horseshoe,LuckyHorseshoe
159,Shiny Red Balloon,ShinyRedBalloon
160,Harpoon,Harpoon
161,Spiky Ball,SpikyBall
162,Ball O' Hurt,BallOHurt
163,Blue Moon,BlueMoon
164,Handgun,Handgun
165,Water Bolt,WaterBolt
166,Bomb,Bomb
167,Dynamite,Dynamite
168,Grenade,Grenade
169,Sand Block,SandBlock
170,Glass,Glass
171,Sign,Sign
172,Ash Block,AshBlock
173,Obsidian,Obsidian
174,Hellstone,Hellstone
175,Hellstone Bar,HellstoneBar
176,Mud Block,MudBlock
177,Sapphire,Sapphire
178,Ruby,Ruby
179,Emerald,Emerald
180,Topaz,Topaz
181,Amethyst,Amethyst
182,Diamond,Diamond
183,Glowing Mushroom,GlowingMushroom
184,Star,Star
185,Ivy Whip,IvyWhip
186,Breathing Reed,BreathingReed
187,Flipper,Flipper
188,Healing Potion,HealingPotion
189,Mana Potion,ManaPotion
190,Blade of Grass,BladeofGrass
191,Thorn Chakram,ThornChakram
192,Obsidian Brick,ObsidianBrick
193,Obsidian Skull,ObsidianSkull
194,Mushroom Grass Seeds,MushroomGrassSeeds
195,Jungle Grass Seeds,JungleGrassSeeds
196,Wooden Hammer,WoodenHammer
197,Star Cannon,StarCannon
198,Blue Phaseblade,BluePhaseblade
199,Red Phaseblade,RedPhaseblade
200,Green Phaseblade,GreenPhaseblade
201,Purple Phaseblade,PurplePhaseblade
202,White Phaseblade,WhitePhaseblade
203,Yellow Phaseblade,YellowPhaseblade
204,Meteor Hamaxe,MeteorHamaxe
205,Empty Bucket,EmptyBucket
206,Water Bucket,WaterBucket
207,Lava Bucket,LavaBucket
208,Jungle Rose,JungleRose
209,Stinger,Stinger
210,Vine,Vine
211,Feral Claws,FeralClaws
212,Anklet of the Wind,AnkletoftheWind
213,Staff of Regrowth,StaffofRegrowth
214,Hellstone Brick,HellstoneBrick
215,Whoopie Cushion,WhoopieCushion
216,Shackle,Shackle
217,Molten Hamaxe,MoltenHamaxe
218,Flamelash,Flamelash
219,Phoenix Blaster,PhoenixBlaster
220,Sunfury,Sunfury
221,Hellforge,Hellforge
222,Clay Pot,ClayPot
223,Nature's Gift,NaturesGift
224,Bed,Bed
225,Silk,Silk
226,Lesser Restoration Potion,LesserRestorationPotion
227,Restoration Potion,RestorationPotion
228,Jungle Hat,JungleHat
229,Jungle Shirt,JungleShirt
230,Jungle Pants,JunglePants
231,Molten Helmet,MoltenHelmet
232,Molten Breastplate,MoltenBreastplate
233,Molten Greaves,MoltenGreaves
234,Meteor Shot,MeteorShot
235,Sticky Bomb,StickyBomb
236,Black Lens,BlackLens
237,Sunglasses,Sunglasses
238,Wizard Hat,WizardHat
239,Top Hat,TopHat
240,Tuxedo Shirt,TuxedoShirt
241,Tuxedo Pants,TuxedoPants
242,Summer Hat,SummerHat
243,Bunny Hood,BunnyHood
244,Plumber's Hat,PlumbersHat
245,Plumber's Shirt,PlumbersShirt
246,Plumber's Pants,PlumbersPants
247,Hero's Hat,HerosHat
248,Hero's Shirt,HerosShirt
249,Hero's Pants,HerosPants
250,Fish Bowl,FishBowl
251,Archaeologist's Hat,ArchaeologistsHat
252,Archaeologist's Jacket,ArchaeologistsJacket
253,Archaeologist's Pants,ArchaeologistsPants
254,Black Thread,BlackThread
255,Green Thread,GreenThread
256,Ninja Hood,NinjaHood
257,Ninja Shirt,NinjaShirt
258,Ninja Pants,NinjaPants
259,Leather,Leather
260,Red Hat,RedHat
261,Goldfish,Goldfish
262,Robe,Robe
263,Robot Hat,RobotHat
264,Gold Crown,GoldCrown
265,Hellfire Arrow,HellfireArrow
266,Sandgun,Sandgun
267,Guide Voodoo Doll,GuideVoodooDoll
268,Diving Helmet,DivingHelmet
269,Familiar Shirt,FamiliarShirt
270,Familiar Pants,FamiliarPants
271,Familiar Wig,FamiliarWig
272,Demon Scythe,DemonScythe
273,Night's Edge,NightsEdge
274,Dark Lance,DarkLance
275,Coral,Coral
276,Cactus,Cactus
277,Trident,Trident
278,Silver Bullet,SilverBullet
279,Throwing Knife,ThrowingKnife
280,Spear,Spear
281,Blowpipe,Blowpipe
282,Glowstick,Glowstick
283,Seed,Seed
284,Wooden Boomerang,WoodenBoomerang
285,Aglet,Aglet
286,Sticky Glowstick,StickyGlowstick
287,Poisoned Knife,PoisonedKnife
288,Obsidian Skin Potion,ObsidianSkinPotion
289,Regeneration Potion,RegenerationPotion
290,Swiftness Potion,SwiftnessPotion
291,Gills Potion,GillsPotion
292,Ironskin Potion,IronskinPotion
293,Mana Regeneration Potion,ManaRegenerationPotion
294,Magic Power Potion,MagicPowerPotion
295,Featherfall Potion,FeatherfallPotion
296,Spelunker Potion,SpelunkerPotion
297,Invisibility Potion,InvisibilityPotion
298,Shine Potion,ShinePotion
299,Night Owl Potion,NightOwlPotion
300,Battle Potion,BattlePotion
301,Thorns Potion,ThornsPotion
302,Water Walking Potion,WaterWalkingPotion
303,Archery Potion,ArcheryPotion
304,Hunter Potion,HunterPotion
305,Gravitation Potion,GravitationPotion
306,Gold Chest,GoldChest
307,Daybloom Seeds,DaybloomSeeds
308,Moonglow Seeds,MoonglowSeeds
309,Blinkroot Seeds,BlinkrootSeeds
310,Deathweed Seeds,DeathweedSeeds
311,Waterleaf Seeds,WaterleafSeeds
312,Fireblossom Seeds,FireblossomSeeds
313,Daybloom,Daybloom
314,Moonglow,Moonglow
315,Blinkroot,Blinkroot
316,Deathweed,Deathweed
317,Waterleaf,Waterleaf
318,Fireblossom,Fireblossom
319,Shark Fin,SharkFin
320,Feather,Feather
321,Tombstone,Tombstone
322,Mime Mask,MimeMask
323,Antlion Mandible,AntlionMandible
324,Illegal Gun Parts,IllegalGunParts
325,The Doctor's Shirt,TheDoctorsShirt
326,The Doctor's Pants,TheDoctorsPants
327,Golden Key,GoldenKey
328,Shadow Chest,ShadowChest
329,Shadow Key,ShadowKey
330,Obsidian Brick Wall,ObsidianBrickWall
331,Jungle Spores,JungleSpores
332,Loom,Loom
333,Piano,Piano
334,Dresser,Dresser
335,Bench,Bench
336,Bathtub,Bathtub
337,Red Banner,RedBanner
338,Green Banner,GreenBanner
339,Blue Banner,BlueBanner
340,Yellow Banner,YellowBanner
341,Lamp Post,LampPost
342,Tiki Torch,TikiTorch
343,Barrel,Barrel
344,Chinese Lantern,ChineseLantern
345,Cooking Pot,CookingPot
346,Safe,Safe
347,Skull Lantern,SkullLantern
348,Trash Can,TrashCan
349,Candelabra,Candelabra
350,Pink Vase,PinkVase
351,Mug,Mug
352,Keg,Keg
353,Ale,Ale
354,Bookcase,Bookcase
355,Throne,Throne
356,Bowl,Bowl
357,Bowl of Soup,BowlofSoup
358,Toilet,Toilet
359,Grandfather Clock,GrandfatherClock
360,Armor Statue,ArmorStatue
361,Goblin Battle Standard,GoblinBattleStandard
362,Tattered Cloth,TatteredCloth
363,Sawmill,Sawmill
364,Cobalt Ore,CobaltOre
365,Mythril Ore,MythrilOre
366,Adamantite Ore,AdamantiteOre
367,Pwnhammer,Pwnhammer
368,Excalibur,Excalibur
369,Hallowed Seeds,HallowedSeeds
370,Ebonsand Block,EbonsandBlock
371,Cobalt Hat,CobaltHat
372,Cobalt Helmet,CobaltHelmet
373,Cobalt Mask,CobaltMask
374,Cobalt Breastplate,CobaltBreastplate
375,Cobalt Leggings,CobaltLeggings
376,Mythril Hood,MythrilHood
377,Mythril Helmet,MythrilHelmet
378,Mythril Hat,MythrilHat
379,Mythril Chainmail,MythrilChainmail
380,Mythril Greaves,MythrilGreaves
381,Cobalt Bar,CobaltBar
382,Mythril Bar,MythrilBar
383,Cobalt Chainsaw,CobaltChainsaw
384,Mythril Chainsaw,MythrilChainsaw
385,Cobalt Drill,CobaltDrill
386,Mythril Drill,MythrilDrill
387,Adamantite Chainsaw,AdamantiteChainsaw
388,Adamantite Drill,AdamantiteDrill
389,Dao of Pow,DaoofPow
390,Mythril Halberd,MythrilHalberd
391,Adamantite Bar,AdamantiteBar
392,Glass Wall,GlassWall
393,Compass,Compass
394,Diving Gear,DivingGear
395,GPS,GPS
396,Obsidian Horseshoe,ObsidianHorseshoe
397,Obsidian Shield,ObsidianShield
398,Tinkerer's Workshop,TinkerersWorkshop
399,Cloud in a Balloon,CloudinaBalloon
400,Adamantite Headgear,AdamantiteHeadgear
401,Adamantite Helmet,AdamantiteHelmet
402,Adamantite Mask,AdamantiteMask
403,Adamantite Breastplate,AdamantiteBreastplate
404,Adamantite Leggings,AdamantiteLeggings
405,Spectre Boots,SpectreBoots
406,Adamantite Glaive,AdamantiteGlaive
407,Toolbelt,Toolbelt
408,Pearlsand Block,PearlsandBlock
409,Pearlstone Block,PearlstoneBlock
410,Mining Shirt,MiningShirt
411,Mining Pants,MiningPants
412,Pearlstone Brick,PearlstoneBrick
413,Iridescent Brick,IridescentBrick
414,Mudstone Brick,MudstoneBlock
415,Cobalt Brick,CobaltBrick
416,Mythril Brick,MythrilBrick
417,Pearlstone Brick Wall,PearlstoneBrickWall
