name,id,type
Unknown fluid,fluid-unknown,fluid
Ammoniated brine,ammoniated-brine,fluid
Brine,brine,fluid
Sour gas,sour-gas,fluid
Ferrous sludge,angels-ore8-sludge,fluid
Ferrous slurry,angels-ore8-solution,fluid
Anodized ferrous concentrate,angels-ore8-anode-sludge,fluid
Ferrous concentrate,angels-ore8-slime,fluid
Ferric chloride solution,liquid-ferric-chloride-solution,fluid
Cupric sludge,angels-ore9-sludge,fluid
Cupric slurry,angels-ore9-solution,fluid
Anodized cupric concentrate,angels-ore9-anode-sludge,fluid
Cupric concentrate,angels-ore9-slime,fluid
Cupric chloride solution,liquid-cupric-chloride-solution,fluid
Thermal water,thermal-water,fluid
Slag slurry,slag-slurry,fluid
Mineral sludge,mineral-sludge,fluid
Crystal slurry,crystal-slurry,fluid
Crystal seedling,crystal-seedling,fluid
Crystal matrix,crystal-matrix,fluid
Chlorauric acid,liquid-chlorauric-acid,fluid
Hexafluorosilicic acid,liquid-hexafluorosilicic-acid,fluid
Hexachloroplatinic acid,liquid-hexachloroplatinic-acid,fluid
Trichlorosilane,liquid-trichlorosilane,fluid
Silane gas,gas-silane,fluid
Titanium tetrachloride,liquid-titanium-tetrachloride,fluid
Tungstic acid,liquid-tungstic-acid,fluid
Tungsten hexafluoride gas,gas-tungsten-hexafluoride,fluid
Molten aluminium,liquid-molten-aluminium,fluid
Molten chrome,liquid-molten-chrome,fluid
Molten cobalt,liquid-molten-cobalt,fluid
Molten copper,liquid-molten-copper,fluid
Molten Glass,liquid-molten-glass,fluid
Molten gold,liquid-molten-gold,fluid
Molten iron,liquid-molten-iron,fluid
Molten lead,liquid-molten-lead,fluid
Molten manganese,liquid-molten-manganese,fluid
Molten nickel,liquid-molten-nickel,fluid
Molten platinum,liquid-molten-platinum,fluid
Molten silicon,liquid-molten-silicon,fluid
Molten silver,liquid-molten-silver,fluid
Concrete,liquid-concrete,fluid
Molten tin,liquid-molten-tin,fluid
Molten titanium,liquid-molten-titanium,fluid
Molten zinc,liquid-molten-zinc,fluid
Molten steel,liquid-molten-steel,fluid
Molten solder,liquid-molten-solder,fluid
Molten bronze,liquid-molten-bronze,fluid
Molten brass,liquid-molten-brass,fluid
Molten gunmetal,liquid-molten-gunmetal,fluid
Molten invar,liquid-molten-invar,fluid
Molten cobalt steel,liquid-molten-cobalt-steel,fluid
Molten nitinol,liquid-molten-nitinol,fluid
15% Semiheavy water,liquid-water-semiheavy-1,fluid
15% Semiheavy water,liquid-water-semiheavy-2,fluid
15% Semiheavy water,liquid-water-semiheavy-3,fluid
Heavy water,liquid-water-heavy,fluid
Water,water,fluid
Purified water,water-purified,fluid
Saline water,water-saline,fluid
Mineralized water,water-mineralized,fluid
Lithia water,lithia-water,fluid
Coolant,liquid-coolant,fluid
Used coolant,liquid-coolant-used,fluid
Sulfuric waste water,water-yellow-waste,fluid
Fluoric waste water,water-greenyellow-waste,fluid
Chloric waste water,water-green-waste,fluid
Nitric waste water,water-red-waste,fluid
Viscous mud water,water-viscous-mud,fluid
Heavy mud water,water-heavy-mud,fluid
Concentrated mud water,water-concentrated-mud,fluid
Light mud water,water-light-mud,fluid
Thin mud water,water-thin-mud,fluid
Steam,steam,fluid
Compressed air,gas-compressed-air,fluid
Oxygen gas,gas-oxygen,fluid
Hydrogen peroxide gas,gas-hydrogen-peroxide,fluid
Carbon monoxide,gas-carbon-monoxide,fluid
Carbon dioxide,gas-carbon-dioxide,fluid
Hydrogen gas,gas-hydrogen,fluid
Deuterium gas,gas-deuterium,fluid
Chlorine gas,gas-chlorine,fluid
Hydrogen chloride gas,gas-hydrogen-chloride,fluid
Hydrochloric acid,liquid-hydrochloric-acid,fluid
Allyl chloride gas,gas-allylchlorid,fluid
Epichlorohydrin gas,gas-epichlorhydrin,fluid
Chloromethane gas,gas-chlor-methane,fluid
Perchloric acid,liquid-perchloric-acid,fluid
Phosgene gas,gas-phosgene,fluid
Sodium hydroxide solution,liquid-aqueous-sodium-hydroxide,fluid
Nitrogen gas,gas-nitrogen,fluid
Ammonia gas,gas-ammonia,fluid
Nitrogen monoxide gas,gas-nitrogen-monoxide,fluid
