name,id,type
Steam powered Inserter MK1,steam-inserter,item
Express Inserter MK1,express-inserter,item
Express Filter inserter MK1,express-filter-inserter,item
Express Stack inserter MK1,express-stack-inserter,item
Express Stack filter inserter MK1,express-stack-filter-inserter,item
Small iron electric pole,small-iron-electric-pole,item
Floating electric pole,floating-electric-pole,item
Straight water way,water-way,rail-planner
Port,port,item
Signal buoy,buoy,item
Chain signal buoy,chain_buoy,item
Lifting train bridge,bridge_base,item
Boat,boat,item-with-entity-data
Boat,indep-boat,item-with-entity-data
Cargo ship,cargo_ship,item-with-entity-data
Tanker ship,oil_tanker,item-with-entity-data
Boat engine,boat_engine,item-with-entity-data
Ship engine,cargo_ship_engine,item-with-entity-data
Bridge Water way,bridge_crossing,item
,bridge_east,item
Lifting train bridge,bridge_east_clickable,item
,bridge_east_closed,item
,bridge_east_open,item
,bridge_north,item
Lifting train bridge,bridge_north_clickable,item
,bridge_north_closed,item
,bridge_north_open,item
,bridge_south,item
Lifting train bridge,bridge_south_clickable,item
,bridge_south_closed,item
,bridge_south_open,item
,bridge_west,item
Lifting train bridge,bridge_west_clickable,item
,bridge_west_closed,item
,bridge_west_open,item
,invisible_chain_signal,item
Bridge Rail,invisible_rail,item
Ship loading pump,ship_pump,item
Crawler lamp,angels-lamp,item
Signal transmitter,aai-signal-sender,item
Signal receiver,aai-signal-receiver,item
Void,void,item
Blueprint,blueprint,blueprint
Deconstruction planner,deconstruction-planner,deconstruction-item
Blueprint book,blueprint-book,blueprint-book
Burner turbine generator,burner-turbine,item
Steam powered mining drill,steam-mining-drill,item
Electric mining drill 2,bob-mining-drill-1,item
Electric mining drill 3,bob-mining-drill-2,item
Electric mining drill 4,bob-mining-drill-3,item
Electric mining drill 5,bob-mining-drill-4,item
Electric large area mining drill 2,bob-area-mining-drill-1,item
Electric large area mining drill 3,bob-area-mining-drill-2,item
Electric large area mining drill 4,bob-area-mining-drill-3,item
Electric large area mining drill 5,bob-area-mining-drill-4,item
Pumpjack 2,bob-pumpjack-1,item
Pumpjack 3,bob-pumpjack-2,item
