Mod name,id,Item ID,name
AE2 Things,ae2things:advanced_inscriber,19167,Advanced Inscriber
AE2 Things,ae2things:crystal_growth,19168,Crystal Growth Chamber
AE2 Things,ae2things:disk_drive_16k,19172,16k ME DISK Drive
AE2 Things,ae2things:disk_drive_1k,19170,1k ME DISK Drive
AE2 Things,ae2things:disk_drive_4k,19171,4k ME DISK Drive
AE2 Things,ae2things:disk_drive_64k,19173,64k ME DISK Drive
AE2 Things,ae2things:disk_housing,19169,ME DISK Housing
AEInfinityBooster,aeinfinitybooster:dimension_card,6132,Dimension Card
AEInfinityBooster,aeinfinitybooster:infinity_card,6131,Infinity Range Booster
Absent By Design Mod,absentbydesign:fence_crimson,11599,Crimson Stem Fence
Absent By Design Mod,absentbydesign:fence_log_acacia,11592,Acacia Log Fence
Absent By Design Mod,absentbydesign:fence_log_birch,11593,Birch Log Fence
Absent By Design Mod,absentbydesign:fence_log_darkoak,11594,Darkoak Log Fence
Absent By Design Mod,absentbydesign:fence_log_jungle,11595,Jungle Log Fence
Absent By Design Mod,absentbydesign:fence_log_oak,11596,Oak Log Fence
Absent By Design Mod,absentbydesign:fence_log_spruce,11597,Spruce Log Fence
Absent By Design Mod,absentbydesign:fence_obsidian,11601,Obsidian Fence
Absent By Design Mod,absentbydesign:fence_quartz,11602,Quartz Fence
Absent By Design Mod,absentbydesign:fence_red_netherbrick,11598,Red Netherbrick Fence
Absent By Design Mod,absentbydesign:fence_warped,11600,Warped Stem Fence
Absent By Design Mod,absentbydesign:gate_blackstone_bricks,11865,Blackstone Brick Fence Gate
Absent By Design Mod,absentbydesign:gate_bricks,11866,Brick Fence Gate
Absent By Design Mod,absentbydesign:gate_end_stone_bricks,11867,Endstone Brick Fence Gate
Absent By Design Mod,absentbydesign:gate_nether_bricks,11861,Nether Brick Gate
Absent By Design Mod,absentbydesign:gate_obsidian,11868,Obsidian Fence Gate
Absent By Design Mod,absentbydesign:gate_prismarine,11869,Prismarine Fence Gate
Absent By Design Mod,absentbydesign:gate_prismarine_brick,11870,Prismarine Brick Fence Gate
Absent By Design Mod,absentbydesign:gate_prismarine_dark,11871,Dark Prismarine Fence Gate
Absent By Design Mod,absentbydesign:gate_purpur,11872,Purpur Fence Gate
Absent By Design Mod,absentbydesign:gate_quartz,11863,Quartz Gate
Absent By Design Mod,absentbydesign:gate_red_nether_bricks,11862,Red Nether Brick Gate
Absent By Design Mod,absentbydesign:gate_stone_bricks,11864,Stone Brick Fence Gate
Absent By Design Mod,absentbydesign:slab_amethyst,11688,Amethyst Slab
Absent By Design Mod,absentbydesign:slab_basalt,11609,Basalt Slab
