id,name,description
WoodLog,Lumber,Wood harvested from an Arbor Tree or an Oakshell.
AdvancedCure,Serum Vial,A doctor-administered cure for severe ailments.
Antihistamine,Allergy Medication,Suppresses and prevents allergic reactions.
BasicBooster,Vitamin Chews,Minorly reduces the chance of becoming sick.
BasicCure,Curative Tablet,"A simple, easy-to-take remedy for minor germ-based diseases."
BasicRadPill,Basic Rad Pill,Increases a Duplicant's natural radiation absorption rate.
IntermediateBooster,Immuno Booster,Significantly reduces the chance of becoming sick.
IntermediateCure,Medical Pack,A doctor-administered cure for moderate ailments.
IntermediateRadPill,Intermediate Rad Pill,Increases a Duplicant's natural radiation absorption rate.
artifact_sandstone,Sandstone,A beautiful rock composed of multiple layers of sediment.
artifact_sink,Sink,No collection is complete without it.
artifact_rubikscube,Rubik's Cube,This mystery of the universe has already been solved.
artifact_officemug,Office Mug,An intermediary place to store espresso before you move it to your mouth.
artifact_obelisk,Small Obelisk,"A rectangular stone piece.

Its function is unclear."
artifact_okayxray,Old X-Ray,"Ew, weird. It has five fingers!"
artifact_blender,Blender,"Equipment used to conduct experiments answering the age-old question, ""Could that blend""?"
artifact_moldavite,Moldavite,A unique green stone formed from the impact of a meteorite.
artifact_vhs,Archaic Tech,Be kind when you handle it. It's very fragile.
artifact_saxophone,Mangled Saxophone,"The name ""Pesquet"" is barely legible on the inside."
artifact_modernart,Modern Art,I don't get it.
artifact_honeyjar,Honey Jar,Sweet golden liquid with just a touch of uranium.
artifact_ameliaswatch,Wrist Watch,"It was discovered in a package labeled ""To be entrusted to Dr. Walker""."
artifact_teapot,Encrusted Teapot,"A teapot from the depths of space, coated in a thick layer of Neutronium."
artifact_brickphone,Strange Brick,It still works.
artifact_robotarm,Robot Arm,It's not functional. Just cool.
artifact_shieldgenerator,Shield Generator,A mechanical prototype capable of producing a small section of shielding.
artifact_bioluminescentrock,Bioluminescent Rock,"A thriving colony of tiny, microscopic organisms is responsible for giving it its bluish glow."
artifact_grubstatue,Grubgrub Statue,A moving tribute to a tiny plant hugger.
artifact_stethoscope,Stethoscope,"Listens to Duplicant heartbeats, or gurgly tummies."
artifact_eggrock,Egg-Shaped Rock,"It's unclear whether this is its naturally occurring shape, or if its appearance as been sculpted."
artifact_hatchfossil,Pristine Fossil,The preserved bones of an early species of Hatch.
artifact_rocktornado,Tornado Rock,"It's unclear how it formed, although I'm glad it did."
artifact_pacupercolator,Percolator,Don't drink from it! There was a pacu... IN the percolator!
artifact_magmalamp,Magma Lamp,"The sequel to ""Lava Lamp""."
artifact_oracle,Useless Machine,What does it do?
artifact_dnamodel,Double Helix Model,An educational model of genetic information.
artifact_rainboweggrock,Egg-Shaped Rock,"It's unclear whether this is its naturally occurring shape, or if its appearance as been sculpted.

This one is rainbow colored."
artifact_plasmalamp,Plasma Lamp,No space colony is complete without one.
artifact_moodring,Radiation Mood Ring,How radioactive are you feeling?
