id,name,description,price,category
arcana_bag_spell,Velvet Pouch,"This small velvet pouch can store many small items in it, such as seeds and herbs.",500,tool
arcana_bag_essence,Essence Storage,This storage is used for storing various different types of essence.,500,tool
arcana_inventory,Backpack,"Several specialized bags have been attached to this backpack, increasing its carrying capacity.",2500,tool
arcana_shield_suppressionShield,Supression Shield,A standard supression shield for Exousian police officers.,800,shield
bleuark_wateringcan_1,Watering Can,Water your crops with this fashionable watering can.,,tool
FD|GrandCrossZana,Grand Cross Zână,"An unique gunblade weapon that has mana inside, unlock its power with the Skill Menu Item from the FutaraDragon race.",0,customskill
monarch_parasol_1,White Parasol,Open to gently float while falling. It's bad luck to open inside the house.,500,tool
monarch_parasol_2,Spotted Parasol,Open to gently float while falling. It's bad luck to open inside the house.,500,tool
aeolus_axe_1,Ariostone Axe,An axe made of ariostone.,800,axe
aeolus_shortbow_1,Ariostone Shortbow,A shortbow that fires light arrows at an extremely fast speed.,800,bow
aeolus_shortbow_2,Zephyr,A shortbow that fires light arrows at an extremely fast speed.,1000,bow
aeolus_spear_1,Ariostone Spear,A light spear blessed by the northern winds.,800,spear
aeon_battleaxe_1,Sagacity,A battleaxe created with the timeless aeons.,1000,axe
aeon_lance_1,Acuity,A yellowish lance.,1000,spear
aeon_shortbow_1,Aeon Shortbow,"A golden shortbow, can instantly fire arrows.",1000,bow
arcana_boss_cosmoNemesis_assaultRifle_1,Asobibi,A wand that shoots out cosmic flames.,1000,assaultRifle
arcana_boss_cosmoNemesis_blastRifle_1,Kitsunebi,A blast-rifle that shoots concentrated fire rounds.,1000,uniqueWeapon
arcana_boss_cosmoNemesis_summonStaff_1,Vulpecula,A summoning staff that manifests cosmo spirits.,2000,staff
arcana_boss_cosmoNemesis_wand_1,Hidama,A wand that summons cosmic flames.,2000,wand
arcana_boss_evolapis_broadsword_1,Archosa,A jade plasma blade forged from the primordial powers.,1120,broadsword
arcana_boss_evolapis_spear_1,Titanosa,A jade plasma fork-spear forged from the primordial powers.,1120,spear
arcana_boss_evolapis_summonStaff_1,Sinornis,A jade plasma staff forged from the primordial powers.,1120,staff
artifact_bow_tempest,Tempest,The cyclone of the raging storm.,60000,bow
artifact_doubleBlade_eternity,Eternity,The eternal thunder that brings down divine judgement.,60000,broadsword
artifact_katana_judgement,Judgement,The absolution brought by a piece of the brighter horizon.,60000,broadsword
artifact_katana_mikazuki,Mikazuki,The divine blade of the crescent moon.,10000,broadsword
artifact_lance_astrifer,Astrifer,A lance comparable to the brightest azure star.,10000,spear
artifact_orb_grandCross,Grand Cross,A strange device embed with a cross.,10000,wand
artifact_orb_nil,Nil,A device extracting power from a fragment of the Zero Mirror.,60000,wand
artifact_orb_perpetuityEye,Perpetuity Eye,The eye of one whose vision was set on an everlasting stasis.,10000,wand
artifact_shortbow_libertas,Libertas,A bow infused with the unconfined wind.,60000,bow
artifact_staff_corrodingElm,Corroding Elm,May insuperable death guide you.,10000,staff
artifact_staff_duality,Duality,Bringer of the radiant light and the colorless void.,60000,staff
artifact_wand_glorious,Glorious,The burning goblet of the hottest flame.,60000,wand
artifact_wand_idunsBlessing,Lost Idun's Blessing,A device that formerly brings fruits of rejuvenation.,100,wand
avostone_lance_1,Star Breaker,A bright spear crafted from avostone.,1000,spear
avostone_wand_1,Sapience,An avostone wand.,1000,wand
azure_assaultRifle_1,Fomalhaut SMG,"An azurium submachinegun, has lowered damage but a fast firing rate.",1000,assaultRifle
azure_assaultRifle_2,Altair SMG,An azurium submachinegun with a burst pattern.,1000,assaultRifle
azure_broadsword_1,Starbrand,A blade designed to cut through the night sky.,1360,broadsword
azure_machinePistol_1,Antares,An azurium pistol designed for rapid firing.,1000,machinePistol
azure_machinePistol_2,Arcturus,"An improvised machine pistol, can rain down destructive bullets in a short burst.",1000,pistol
azure_machinePistol_3,Sirius A,"Sirius, the Great Oracle.",10000,uniqueWeapon
azure_pistol_1,Canopus,"An azurium pistol, has increased accuracy, knockback and damage.",1000,pistol
azure_pistol_2,Pleiades,"An azurium pistol, has lowered damage and accuracy but can bounce up to 7 times.",1000,pistol
azure_pistol_basic,Canopus Prototype,A prototype pistol used by Arcanian ship crew.,200,pistol
azure_shotgun_1,Lesath,"An azurium shotgun, built for high damage at a close distance.",1000,shotgun
azure_sniperRifle_1,Furud Modular,"An azurium sniper rifle, designed for clean eliminations.",1000,sniperRifle
azure_sniperRifle_basic,Furud Prototype,A prototype sniper rifle used by Arcanian ship crew.,200,sniperRifle
bleuark_assaultRifle_1,Golden Triumph,A golden rifle made from Atla gold.,1000,assaultRifle
bleuark_spear_1,Atlantis Spear,A spear made from atla gold.,1000,spear
bleuark_wand_1,Atlantis Wand,A wand infused with aqua magic.,1000,wand
conflagration_greatsword_1,Fiery Greatsword,A burning greatsword.,1000,broadsword
conflagration_machinePistol_1,Magma Pistol,A molten machine pistol.,1000,machinePistol
conflagration_shortbow_1,Firestorm,A molten shortbow.,1000,bow
conflagration_shortsword_1,Molten Slasher,A burning shortsword.,1000,shortsword
conflagration_sniperRifle_1,Magma Rifle,A molten sniper rifle.,1000,sniperRifle
detritus_greatsword_1,Detritus Greatsword,A crude greatsword made with various salvaged parts.,800,broadsword
detritus_katana_1,Detritus Tachi,A crude tachi made with various salvaged parts.,800,broadsword
elysia_assaultRifle_1,Elysian Repeater,"A rarely used rifle, covered in plant matter.",1000,assaultRifle
elysia_doubleBlade_1,Elysian Double Blade,A bladed weapon created from some sort of a durable glass material.,1000,broadsword
exousia_church_staff_1,Orpah,Acta deos numquam mortalia fallunt.,10000,staff
exousia_imperialArmy_1_broadsword_1,EIA1 Schwarzritter Sword,A standard plasma blade wielded by Exousian Frontliners.,920,broadsword
exousia_imperialArmy_1_broadsword_2,EIA1 Blutstark,A large plasma blade wielded by Exousian frontine Commanders.,920,broadsword
exousia_imperialArmy_2_battleaxe_1,EIA2 Stalbrecher,A standard battleaxe used by Exousian Nashorns.,980,axe
exousia_imperialArmy_2_broadsword_1,Sanguinecre,Only war can sustain this blade's thirst. Inflicts Sanguine. -40% Max HP while holding.,10000,broadsword
exousia_imperialArmy_3_katana_1,EIA3 Nordwolf Edge,A special katana issued to Exousian Nordwolves.,1100,broadsword
exousia_imperialArmy_3_katana_1_npc,EIA3 Nordwolf Edge,A special katana issued to Exousian Nordwolves.,1100,broadsword
exousia_imperialArmy_3_lance_1,EIA3 Nordwolf Lance,A standard close combat lance issued to Exousian Nordwolves.,900,spear
exousia_sovereign_katana_1,Dawnbreaker,The sword of the Emperor's might and power.,10000,broadsword
gaea_axe_1,Floral Breaker,A one-handed hammer made of florastone.,1000,axe
gaea_axe_2,Floral Smasher,A one-handed hammer made of florastone.,1000,axe
gaea_boomerang_1,Verdant Boomerang,A boomerang found in Verdant Sanctums. Inflicts poisoned.,2000,boomerang
gaea_chakram_1,Verdant Chakram,A special chakram found in Verdant Sanctums. Inflicts poisoned.,2000,chakram
gaea_spear_1,Superpunch,A spear in the shape of a fist.,1000,spear
havencrest_assaultRifle_1,Osiri Riveter,An arcanium forged rifle.,800,assaultRifle
havencrest_broadsword_1,Arcanium Broadsword,"A true scholar is knowledged in all things, even combat.",1000,broadsword
havencrest_machinePistol_1,Osiri Defender,An arcanium based machine pistol.,1000,machinePistol
havencrest_shortbow_1,Arcanium Shortbow,"A shortbow made from arcanium, can instantly fire arrows.",1000,bow
hephaestus_dagger_1,Magifire Dagger,A burning dagger infused with the fire element.,600,dagger
hephaestus_staff_1,Hestia,Flame-infused staff of the ancient fire.,2000,staff
hephaestus_wand_1,Magifire Wand,Flame-infused wand of the ancient fire.,600,wand
hephaestus_wand_2,Grandfire Wand,Flame-infused wand of the ancient fire.,2000,wand
horizon_assaultRifle_1,Anguish,A dark rifle made from necroium.,1000,assaultRifle
horizon_assaultRifle_2,Remorse MKI,A dark rifle made from necroium.,1000,assaultRifle
horizon_broadsword_1,Tenebrosity,A dark broadsword.,1000,broadsword
horizon_broadsword_2,Erexeno Sword,A custom made sword used by Horizon elites.,1260,broadsword
horizon_hammer_1,Retribution,A hammer made from necroium ingots.,1000,hammer
horizon_lance_1,Destruction,A devastating lance.,1000,spear
horizon_shotgun_1,Torment,A dark shotgun made from necroium.,1000,shotgun
horizon_sniperRifle_1,Remorse MKII,A dark rifle made from necroium.,1000,sniperRifle
horizon_staff_1,Sanctus,You can sense the darkness flowing inside.,1600,staff
lunar_dagger_1,Hangetsu Tanto,A small tanto made from luminarium.,1460,dagger
lunar_katana_1,Gekko Tachi,"A katana forged from luminarium, can perform swift strikes in mere moments.",1600,broadsword
lunar_katana_2,Mamushi,"A katana forged from luminarium, also known as the serpent blade.",1600,broadsword
luye_glaive_1,Corrodium Glaive,A glaive crafted from aegistalt and corrodium.,1000,spear
luye_moonBlade_1,Corrodium Moon Blade,A moon-blade crafted from aegistalt and corrodium.,1000,broadsword
magnus_assaultRifle_selach,Selach,"Selach, the Great Shark.",10000,assaultRifle
magnus_blastRifle_testaViola,Testa Viola,"Testa Viola, the Great Slaughter.",10000,uniqueWeapon
magnus_staff_grandel,Grandel,"Grandel, the Great Wilderness.",10000,staff
maple_dagger_1,Maple Tanto,"A simple maple colored tanto made with copper, iron and orange dye.",160,dagger
maple_hammer_1,Maple Hammer,"A simple maple colored hammer made with copper, iron and orange dye.",160,hammer
maple_katana_1,Maple Tachi,"A simple maple colored tachi made with copper, iron and orange dye.",180,broadsword
misc_axe_blackout,Blackout,A one-handed axe.,1000,axe
misc_katana_ironKatana,Iron Katana,A sharp iron katana.,400,broadsword
misc_katana_neon,Neon,A blade that cuts even the night sky.,1000,broadsword
misc_katana_ouroburos,Ouroboros,Blade of the endless serpent.,1000,broadsword
misc_katana_viridescentKatana,Viridescent Katana,Also known as the green sword!,960,broadsword
misc_machinePistol_koelSteel,Koel Steel,A special rapid firing machine pistol used by Koel Industry's outpost guards.,1000,machinePistol
misc_wand_tripleDecker,Trip1e Decker,Taste the icy sweetness!,10000,uniqueWeapon
monarch_doubleBlade_1,Holosium Double Blade,A pale double bladed weapon.,1000,broadsword
monarch_lance_1,Iustitia,A pale lance.,1000,spear
monarch_staff_1,Elucidation,A pale staff.,1000,staff
monarch_staff_2,Purity,A pale staff.,1000,staff
nulla_claymore_1,Durendal,A weapon used by the Nulla Order.,1000,broadsword
orion_broadsword_1,OC Voltaic Razor,A high-tech broadsword used by the Orion. Inflicts Eletrified.,900,broadsword
orion_greatsword_1,OC Voltaic Engraver,A high tech greatsword. Inflicts Eletrified.,1000,broadsword
