id,name,description,price,category
bee_aquarum_drone,Aquarum Drone,Aquarum Drone,,craftingMaterial
bee_aquarum_queen,Aquarum Queen,Aquarum Queen,,craftingMaterial
bee_aquarum_youngQueen,Young Aquarum Queen,Aquarum Young Queen,,craftingMaterial
bee_artisan_drone,Artisan Drone,Artisan Drone,,craftingMaterial
bee_artisan_queen,Artisan Queen,Artisan Queen,,craftingMaterial
bee_artisan_youngQueen,Young Artisan Queen,Artisan Young Queen,,craftingMaterial
bee_assassin_drone,Assassin Drone,Assassin Drone,,craftingMaterial
bee_assassin_queen,Assassin Queen,Assassin Queen,,craftingMaterial
bee_assassin_youngQueen,Young Assassin Queen,Assassin Young Queen,,craftingMaterial
bee_bumblebee_drone,Bumblebee Drone,Bumblebee Drone,,craftingMaterial
bee_bumblebee_queen,Bumblebee Queen,Bumblebee Queen,,craftingMaterial
bee_bumblebee_youngQueen,Young Bumblebee Queen,Bumblebee Young Queen,,craftingMaterial
bee_carpenter_drone,Carpenter Drone,Carpenter Drone,,craftingMaterial
bee_carpenter_queen,Carpenter Queen,Carpenter Queen,,craftingMaterial
bee_carpenter_youngQueen,Young Carpenter Queen,Carpenter Young Queen,,craftingMaterial
bee_crystalwing_drone,Crystalwing Drone,Crystalwing Drone,,craftingMaterial
bee_crystalwing_queen,Crystalwing Queen,Crystalwing Queen,,craftingMaterial
bee_crystalwing_youngQueen,Young Crystalwing Queen,Crystalwing Young Queen,,craftingMaterial
bee_cuckoo_drone,Cuckoo Drone,Cuckoo Drone,,craftingMaterial
bee_cuckoo_queen,Cuckoo Queen,Cuckoo Queen,,craftingMaterial
bee_cuckoo_youngQueen,Young Cuckoo Queen,Cuckoo Young Queen,,craftingMaterial
bee_cybernetic_drone,Cybernetic Drone,Cybernetic Drone,,craftingMaterial
bee_cybernetic_queen,Cybernetic Queen,Cybernetic Queen,,craftingMaterial
bee_cybernetic_youngQueen,Young Cybernetic Queen,Cybernetic Young Queen,,craftingMaterial
bee_devoratrix_drone,Devoratrix Drone,Devoratrix Drone,,craftingMaterial
bee_devoratrix_queen,Devoratrix Queen,Devoratrix Queen,,craftingMaterial
bee_devoratrix_youngQueen,Young Devoratrix Queen,Devoratrix Young Queen,,craftingMaterial
bee_digger_drone,Digger Drone,Digger Drone,,craftingMaterial
bee_digger_queen,Digger Queen,Digger Queen,,craftingMaterial
bee_digger_youngQueen,Young Digger Queen,Digger Young Queen,,craftingMaterial
bee_exspiravit_drone,Exspiravit Drone,Exspiravit Drone,,craftingMaterial
bee_exspiravit_queen,Exspiravit Queen,Exspiravit Queen,,craftingMaterial
bee_exspiravit_youngQueen,Young Exspiravit Queen,Exspiravit Young Queen,,craftingMaterial
bee_gelidburrower_drone,Gelid Burrower Drone,Gelid Burrower Drone,,craftingMaterial
bee_gelidburrower_queen,Gelid Burrower Queen,Gelid Burrower Queen,,craftingMaterial
bee_gelidburrower_youngQueen,Young Gelid Burrower Queen,Gelid Burrower Young Queen,,craftingMaterial
bee_goldensaint_drone,Golden Saint Drone,Golden Saint Drone,,craftingMaterial
bee_goldensaint_queen,Golden Saint Queen,Golden Saint Queen,,craftingMaterial
bee_goldensaint_youngQueen,Young Golden Saint Queen,Golden Saint Young Queen,,craftingMaterial
bee_harlequin_drone,Harlequin Drone,Harlequin Drone,,craftingMaterial
