itemName,shortdescription,description,price,category
durablefishingrod,Durable Fishing Rod,A durasteel rod for fishing in extreme environments.,1500,fishingRod
fishingrod,Fishing Rod,A simple wooden fishing rod with titanium fittings.,150,fishingRod
fossilbrushbeginner,Basic Fossil Brush,"Can be used once to excavate a fossil, with limited success.",10,tool
fossilbrushmaster,Master Fossil Brush,"Can be used once to excavate a fossil, with heightened success.",50,tool
fossilbrushstudent,Advanced Fossil Brush,"Can be used once to excavate a fossil, with moderate success.",30,tool
climbingrope,Rope,A length of rope. Useful for climbing and tying things together!,10,Tool
grapplinghook,Grappling Hook,"Oh my god, whee! This is so fun!",3000,Tool
commonlargeshield,Large Shield,There's something special between us.,660,shield
commonsmallshield,Small Shield,There's a little something special between us.,600,shield
eyeshield,Eye Shield,Sees every attack coming.,600,shield
floranshield,Floran Shield,These leaves are surprisingly resilient.,630,shield
frostshield,Frost Shield,Stops attacks cold.,630,shield
mushroomshield,Mushroom Shield,A thick disc of hardened fungus.,600,shield
riotshield,Riot Shield,A bastion of order in an uncertain world.,720,shield
seashellshield,Seashell Shield,Enemies will break against you like crashing waves.,660,shield
startershield,Basic Shield,Slightly more durable than your bare hands.,570,shield
broom,Broom,The most useful of sweeping tools.,50,tool
bugnet,Bug Net,"A net for catching bugs! Hunt insects down, capture them, and grow your collection!",20,Tool
npcpetcapturepod,Filled Capture Pod,Throw it down to release the creature captured inside!,,throwableItem
geode,Geode,Break this geode open to reveal its contents. Geology rocks!,0,mysteriousReward
cavedetector,Cave Detector,Emits pulses to plot the density of nearby materials.,1500,Tool
oredetector,Ore Detector,Emits pulses to analyse the composition of nearby minerals.,2500,Tool
parasol,Parasol,Open to gently float while falling. It's bad luck to open inside the house.,500,tool
penguincostume,Penguin Costume,A package containing a full novelty Penguin costume.,15000,mysteriousReward
railhook,Rail Hook,Ride the rails!,1000,tool
compositerailplatform,Composite Rail Platform,Place a self-propelled platform that follows rails.,475,railPlatform
rustyrailplatform,Rusty Rail Platform,A platform that follows a set path when placed on a rail.,150,railPlatform
relocator,Relocator,Holds up to 3 friendly creatures in stasis in order to safely relocate them.,1500,Tool
rewardbag,Reward Bag,Use this to open it and reveal its contents. How exciting!,0,mysteriousReward
superrewardbag,Special Reward,Use this to open it and reveal its contents. How exciting!,0,mysteriousReward
translocator,Translocator,"Location, location.",5000,tool
wateringcan,Watering Can,Water your crops with this fashionable watering can.,,tool
woodenwateringcan,Wooden Watering Can,Gently and efficiently water your crops.,25,tool
hoverbikecontrollergreen,Green Hoverbike Controller,Create a green painted hoverbike from stored nanites.,15000,vehicleController
hoverbikecontrollerkhaki,Khaki Hoverbike Controller,Create a khaki painted hoverbike from stored nanites.,11000,vehicleController
hoverbikecontrollerred,Red Hoverbike Controller,Create a red painted hoverbike from stored nanites.,12500,vehicleController
bruisersword,Bruiser's Broadsword,This thing is massive!,1080,broadsword
flamethrowerblade,Flamethrower Blade,It's a flamethrower built to look like a sword.,0,uniqueWeapon
hunterrifle,Vintage Scoped Rifle,A powerful scope helps this gun pick off distant targets easily.,1500,sniperRifle
boomerang,Boomerang,State-of-the-art microthrusters guarantee that it will always return.,1500,boomerang
fireboomerang,Molten Boomerang,A blazing hot boomerang with a molten core.,3000,boomerang
iceboomerang,Frozen Boomerang,A freezing cold boomerang with a frozen core.,3000,boomerang
lunarang,Lunarang,That's no moon.,3000,boomerang
wormerang,Giant Worm,"A terrifying giant worm, throw it at someone!",2500,boomerang
dragonhead,Dragonhead Pistol,A pistol with a fiery temper. Here be Dragons.,1500,uniqueWeapon
ixodoomclaw,Ixodoom Claw,The severed leg of a mighty Ixodoom. It makes for a powerful weapon.,1500,uniqueWeapon
kluexstaff,Kluex Staff,This powerful staff bolsters the warrior who wields it.,1440,staff
miniknoglauncher,Miniknog Launcher,"A miniature missile launcher, developed by top Miniknog scientists.",850,uniqueWeapon
soluskatana,Solus Katana,"A solarium-infused sword, forged by Asra Nox.",960,broadsword
bow,Hunting Bow,Harvests meat and other goods from monsters.,50,bow
cavebow,Rock Bow,"A heavy stone bow, almost too stiff to draw.",640,bow
compoundbow,Compound Bow,Harvests meat and other goods from monsters.,640,bow
cupidsbow,Cupid's Bow,Arrows loosed from this bow provoke unbridled passion.,640,bow
frozenbow,Frozen Bow,Fires arrows imbued with crippling frost.,960,bow
harpoongun,Harpoon Gun,The weapon of choice for deep ocean hunters.,40,bow
lightbow,Light Bow,Fires glowing beams of pure energy!,960,bow
poisonbow,Poison Bow,Fires arrows coated in deadly poison.,640,bow
pollenpump,Pollen Pump,Perfect pest control.,1500,uniqueWeapon
tungstenbow,Tungsten Hunting Bow,Harvests meat and other goods from monsters.,640,bow
chakram,Chakram,Grand masters of the chakram can catch it without losing fingers.,1500,chakram
hardchakram,Hard Chakram,"Solid, heavy, and brutally effective.",3000,chakram
neochakram,Neo Chakram,Crackling with destructive energy.,3000,chakram
sawchakram,Saw Chakram,A favourite weapon of the sacred order of lumbermonks.,3000,chakram
boxingglove,Boxing Glove,Now you can be a contender.,250,fistWeapon
brassknuckles,Brass Knuckles,It's hard to crack these knuckles.,750,fistWeapon
clawglove,Claw Glove,"Not adamantium, but still cool.",1000,fistWeapon
gauntlet,Gauntlet,Perfect for initiating a duel.,750,fistWeapon
stunglove,Stun Glove,Shockingly effective.,1000,fistWeapon
supernovaglove,Supernova Gauntlet,Gauntlets imbued with the power of a supernova.,1000,fistWeapon
vinefist,Vine Fist,Unleash the power of nature!,1000,fistWeapon
commonaxe,Common Axe,Designed for effective chopping.,600,axe
fryingpan,Frying Pan,Skillet technology will never surpass cast iron.,640,axe
rareaxe,Rare Axe,Designed for effective chopping.,720,axe
uncommonaxe,Uncommon Axe,Designed for effective chopping.,660,axe
astrosabredeluxe,Asuterosaberu DX,"An inscription on the blade reads,""High-five for expressing yourself!""",1500,broadsword
commonbroadsword,Common Broadsword,A powerful two-handed sword.,900,broadsword
hokucide,Hokucide,Accidentally formed from a sword at the bottom of the ocean during a particle accelerator explosion.,1500,broadsword
legendblade,Legend Sword,This legend sword came out of a rock.,1500,broadsword
rarebroadsword,Rare Broadsword,A powerful two-handed sword.,1080,broadsword
stoneblade,Stone Sword,This stone sword cames out of a rock.,750,broadsword
timepierce,Time Pierce,This blade can pierce through the fabric of time itself.,1500,broadsword
uncommonbroadsword,Uncommon Broadsword,A powerful two-handed sword.,990,broadsword
commondagger,Common Dagger,Razor sharp and lightning quick.,450,dagger
commonhammer,Common Hammer,"Slow, heavy and effective.",900,hammer
rarehammer,Rare Hammer,"Slow, heavy and effective.",1080,hammer
uncommonhammer,Uncommon Hammer,"Slow, heavy and effective.",990,hammer
energypickaxe,Energy Pickaxe,A mining tool unlike anything you've seen in other media.,5000,tool
commonshortsword,Common Shortsword,A sturdy one-handed sword.,600,shortsword
rareshortsword,Rare Shortsword,A sturdy one-handed sword.,720,shortsword
uncommonshortsword,Uncommon Shortsword,A sturdy one-handed sword.,660,shortsword
commonspear,Common Spear,This spear is perfect for enemies just out of reach.,900,spear
