id,name,description,type
-1,Pants,"A wearable pair of pants.",Pants
-2,Shirt,"A wearable shirt.",Shirt
0,Farmer Pants,"Comfortable and durable for long hours in the field.",Pants
1,Shorts,"Perfect for a hot summer's day... your legs will thank you.",Pants
2,Dress,"A long, flowy dress.",Pants
3,Skirt,"A cute skirt.",Pants
4,Pleated Skirt,"A cute pleated skirt.",Pants
5,Dinosaur Pants,"These pants were thought to have gone extinct a long time ago!",Pants
6,Grass Skirt,"A skirt made of dried grass.",Pants
7,Luau Skirt,"A skirt destined to make you the 'luau' the party!",Pants
8,Genie Pants,"Pants that balloon out near the bottom. Your wish has been answered!",Pants
9,Tight Pants,"A very tight pair of pants.",Pants
10,Baggy Pants,"A loose pair of pants.",Pants
11,Simple Dress,"A soft, smooth, medium length dress.",Pants
12,Relaxed Fit Pants,"These pants have a little more room for the legs.",Pants
13,Relaxed Fit Shorts,"These shorts have a little more room for the legs.",Pants
14,Polka Dot Shorts,"Whoops!",Pants
15,Trimmed Lucky Purple Shorts,"Purple silk shorts trimmed in luxurious gold...",Pants
998,Prismatic Pants,"Pants that shimmer with prismatic energy.",Pants/Prismatic
999,Prismatic Genie Pants,"Pants that shimmer with prismatic energy.",Pants/Prismatic
1000,Classic Overalls,"A farming classic.",Shirt
1002,Mint Blouse,"A cute, light green blouse.",Shirt
1003,Dark Shirt,"A dark colored shirt.",Shirt
1004,Skull Shirt,"A shirt with a menacing skull printed on it.",Shirt
1005,Light Blue Shirt,"A light blue shirt.",Shirt
1006,Tan Striped Shirt,"A tan shirt with a white stripe going through the middle of it.",Shirt
1007,Green Overalls,"A slightly less popular farming classic.",Shirt
1008,Good Grief Shirt,"A good ol' shirt...",Shirt
1009,Aquamarine Shirt,"An aquamarine shirt.",Shirt
1010,Suit Top,"A formal top for fancy events and celebrations.",Shirt
1011,Green Belted Shirt,"A green, belted shirt.",Shirt
1012,Lime Green Striped Shirt,"A lime green shirt with white stripes.",Shirt
1013,Red Striped Shirt,"A red shirt with white stripes.",Shirt
1014,Skeleton Shirt,"A shirt with a skeletal rib cage printed on it.",Shirt
1015,Orange Shirt,"An orange shirt.",Shirt
1016,Night Sky Shirt,"A shirt that reminds you of the night sky.",Shirt
1017,Mayoral Suspenders,"A pair of suspenders that looks awfully familiar...",Shirt
1018,Brown Jacket,"A nice, sturdy jacket made of brown material.",Shirt
1019,Sailor Shirt,"Reminds you of the open sea.",Shirt
1020,Green Vest,"A neat green vest over a shirt.",Shirt
1021,Yellow and Green Shirt,"A yellow shirt with a green stripe.",Shirt
1026,Light Blue Striped Shirt,"A light blue shirt with a white stripe.",Shirt
1027,Pink Striped Shirt,"A pink shirt with stripes.",Shirt
1028,Heart Shirt,"Wear your heart on your sleeves with this extra soft garment.",Shirt
1029,Work Shirt,"For long days in the fields.",Shirt
1030,Store Owner's Jacket,"A jacket that looks like it'd be worn by a small town merchant.",Shirt
1034,Green Tunic,"A shirt fit for an adventurer.",Shirt
1035,Fancy Red Blouse,"A bright red blouse adorned with shiny yellow buttons.",Shirt
1038,Plain Shirt,"A simple shirt.",Shirt
1039,Retro Rainbow Shirt,"A simple shirt with a faded rainbow pattern.",Shirt
1042,Lime Green Tunic,"A bright green tunic with a belt.",Shirt
