name,id,Version,Type,Category,Mod
.223 Ammo,223Bullets,41.1,Normal,items_weapons,Classic
.223 Magazine,223Clip,41.1,Normal,items_weapons,Classic
.308 Ammo,308Bullets,41.1,Normal,items_weapons,Classic
.308 Magazine,308Clip,41.1,Normal,items_weapons,Classic
.308 Magazine,M14Clip,41.1,Normal,items_weapons,Classic
.38 Special Bullets,Bullets38,41.1,Normal,items_weapons,Classic
.44 Magazine,44Clip,41.1,Normal,items_weapons,Classic
.44 Magnum Bullets,Bullets44,41.1,Normal,items_weapons,Classic
.45 Auto,Bullets45,41.1,Normal,items_weapons,Classic
.45 Auto Magazine,45Clip,41.1,Normal,items_weapons,Classic
.556 Ammo,556Bullets,41.1,Normal,items_weapons,Classic
.556 Magazine,556Clip,41.1,Normal,items_weapons,Classic
1 Dollar Bill,HC1dollarbill,B41 Beta,Normal,Money,Hydrocraft
10 Dollar Bill,HC10dollarbill,B41 Beta,Normal,Money,Hydrocraft
100 Dollar Bill,HC100dollarbill,B41 Beta,Normal,Money,Hydrocraft
2 Dollar Bill,HC2dollarbill,B41 Beta,Normal,Money,Hydrocraft
20 Dollar Bill,HC20dollarbill,B41 Beta,Normal,Money,Hydrocraft
223 Bullets Mold,223BulletsMold,41.1,Normal,newitems,Classic
308 Bullets Mold,308BulletsMold,41.1,Normal,newitems,Classic
3D Glasses,HC3Dglasses,B41 Beta,Normal,Cinema,Hydrocraft
5 Dollar Bill,HC5dollarbill,B41 Beta,Normal,Money,Hydrocraft
50 Dollar Bill,HC50dollarbill,B41 Beta,Normal,Money,Hydrocraft
9 Volt Battery,HCBattery9volt,B41 Beta,Normal,Battery,Hydrocraft
9mm Bullets Mold,9mmBulletsMold,41.1,Normal,newitems,Classic
9mm Magazine,9mmClip,41.1,Normal,items_weapons,Classic
9mm Rounds,Bullets9mm,41.1,Normal,items_weapons,Classic
AA12 AUTO Shotgun,HCAA12,B41 Beta,Weapon,Weapon Ranged,Hydrocraft
AA12 Magazine,HCMagAA12,B41 Beta,Normal,Weapon Ranged,Hydrocraft
Abacus,HCAbacus,B41 Beta,Normal,Office,Hydrocraft
Absinth,HCAbsinth,B41 Beta,Food,Food Bar,Hydrocraft
Acid Bath Empty,HCAcidbathempty,B41 Beta,Normal,Alchemy,Hydrocraft
Acid Bath Muriatic Acid,HCAcidbathmuriaticacid,B41 Beta,Normal,Alchemy,Hydrocraft
Acorn,HCAcorn,B41 Beta,Normal,Foraging,Hydrocraft
Acoustic Guitar,GuitarAcoustic,41.1,Weapon,items_weapons,Classic
Acrylic Bong,HCBongacrylicempty,B41 Beta,Normal,Drugs Cannabis,Hydrocraft
Acrylic Bong with Hemp,HCBongacrylicfull,B41 Beta,Food,Drugs Cannabis,Hydrocraft
Action Figure,HCToyactionfigure1,B41 Beta,Normal,Toys,Hydrocraft
Action Figure,HCToyactionfigure2,B41 Beta,Normal,Toys,Hydrocraft
Action Figure,HCToyactionfigure3,B41 Beta,Normal,Toys,Hydrocraft
Action Figure,HCToyactionfigure4,B41 Beta,Normal,Toys,Hydrocraft
Adhesive Bandages,Bandaid,41.1,Normal,newitems,Classic
Adhesive Tape,Scotchtape,B41 Beta,Normal,newitems,Hydrocraft
Adrenalin,HCAdrenalin,B41 Beta,Food,Medical,Hydrocraft
Adult Birch Tree,HCBirch4,B41 Beta,Normal,Trees,Hydrocraft
Adult Fir Tree,HCFir4,B41 Beta,Normal,Trees,Hydrocraft
Adult Magazine,HCAdultmagazine,B41 Beta,Literature,Magazines,Hydrocraft
Adult Magazine,HCAdultmagazine2,B41 Beta,Literature,Magazines,Hydrocraft
Adult Magazine,HCAdultmagazine3,B41 Beta,Literature,Magazines,Hydrocraft
Adult Magazine,HCAdultmagazine4,B41 Beta,Literature,Magazines,Hydrocraft
Adult Magazine,HCAdultmagazine5,B41 Beta,Literature,Magazines,Hydrocraft
Adult Magazine,HCAdultmagazine6,B41 Beta,Literature,Magazines,Hydrocraft
Adult Oak Tree,HCOak4,B41 Beta,Normal,Trees,Hydrocraft
Advanced Carpentry,BookCarpentry3,41.1,Literature,items_literature,Classic
Advanced Cooking,BookCooking3,41.1,Literature,items_literature,Classic
Advanced Electricity,BookElectrician3,41.1,Literature,items_literature,Classic
Advanced Farming,BookFarming3,41.1,Literature,items_literature,Classic
Advanced First Aid,BookFirstAid3,41.1,Literature,items_literature,Classic
Advanced Fishing,BookFishing3,41.1,Literature,items_literature,Classic
Advanced Fitness Plan,HCAdvFitPlan,B41 Beta,Literature,Blueprints,Hydrocraft
Advanced Foraging,BookForaging3,41.1,Literature,items_literature,Classic
Advanced Mechanics,BookMechanic3,41.1,Literature,items_literature,Classic
Advanced Metalwork,BookMetalWelding3,41.1,Literature,items_literature,Classic
Advanced Smithing,BookBlacksmith3,41.1,Literature,items_literature,Classic
Advanced Tailoring,BookTailoring3,41.1,Literature,items_literature,Classic
Advanced Trapping,BookTrapping3,41.1,Literature,items_literature,Classic
Aerosol Bomb,Aerosolbomb,41.1,Weapon,newitems,Classic
Aerosol Bomb with Sensor,AerosolbombSensorV1,41.1,Weapon,newitems,Classic
Aerosol Bomb with Sensor,AerosolbombSensorV2,41.1,Weapon,newitems,Classic
Aerosol Bomb with Sensor,AerosolbombSensorV3,41.1,Weapon,newitems,Classic
Aerosol Bomb with Timer,AerosolbombTriggered,41.1,Weapon,newitems,Classic
Agar,HCAgar,B41 Beta,Drainable,Microbiology,Hydrocraft
Aged Cheddar Wheel,HCCheddarwheelaged,B41 Beta,Food,Cheesemaking,Hydrocraft
Agua Ardiente Bottle,HCAguaardiente,B41 Beta,Food,Food Bar,Hydrocraft
Air Filter,HCAirfilter,B41 Beta,Normal,Auto,Hydrocraft
Air Freshener,HCAirfreshener,B41 Beta,Normal,Auto,Hydrocraft
Airforce Coveralls,Boilersuit_Flying,41.1,Clothing,clothing/clothing_suits,Classic
Airforce Helmet,Hat_SPHhelmet,41.1,Clothing,clothing/clothing_hats,Classic
Airplane,HCPaperairplane,B41 Beta,Normal,Papercraft,Hydrocraft
Alabaster,HCAlabaster,B41 Beta,Normal,Mining,Hydrocraft
Alarm Clock,AlarmClock2,41.1,AlarmClock,newitems,Classic
Albite,HCAlbite,B41 Beta,Normal,Mining,Hydrocraft
Albite Powder,HCAlbitepowder,B41 Beta,Normal,Alchemy,Hydrocraft
Alcohol Wipes,AlcoholWipes,41.1,Drainable,newitems,Classic
Alcoholic Beverages Cookbook,HCCookbookalcoholic,B41 Beta,Literature,Cookbooks,Hydrocraft
Alder Bough,HCAlderbough,B41 Beta,Normal,Foraging,Hydrocraft
Ale Stein,HCAlestien,B41 Beta,Normal,Kitchen,Hydrocraft
Ale Stein with Water,HCAlestienfull,B41 Beta,Drainable,Kitchen,Hydrocraft
Alfalfa,HCAlfalfa,B41 Beta,Normal,Foraging,Hydrocraft
Alfalfa Packet,HCAlfalfaseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Alfalfa Seeds,HCAlfalfaseeds,B41 Beta,Normal,Seeds,Hydrocraft
Alfredo Sauce,HCAlfredosauce,B41 Beta,Food,Food Condiments,Hydrocraft
Algae powder,HCAlgaePowder,B41 Beta,Food,Food Vegetables,Hydrocraft
Algebra Textbook,HCBookalgebra,B41 Beta,Literature,Books,Hydrocraft
All Purpose Cleaner,HCCleanerall,B41 Beta,Drainable,Cleaning,Hydrocraft
Alloys Textbook,HCBookalloys,B41 Beta,Literature,Books,Hydrocraft
Aluminium Bat,HCAluminiumbat,B41 Beta,Weapon,Toys,Hydrocraft
Aluminium Crutch,HCCrutchaluminium,B41 Beta,Weapon,Medical,Hydrocraft
Aluminum,Aluminum,41.1,Normal,newitems,Classic
Aluminum Fishhook,HCFishhookaluminum,B41 Beta,Normal,Fishing,Hydrocraft
Aluminum Ingot,HCAluminumingot,B41 Beta,Normal,Metalurgy,Hydrocraft
Aluminum Powder,HCAluminumpowder,B41 Beta,Normal,Alchemy,Hydrocraft
Aluminum Wire,HCWirealuminum,B41 Beta,Drainable,Industrial,Hydrocraft
Aluminum Working Textbook,HCBookaluminumworking,B41 Beta,Literature,Books,Hydrocraft
Amazonite,HCAmazonite,B41 Beta,Normal,Gems,Hydrocraft
American Flag,HCFlagamerican,B41 Beta,Normal,Flags,Hydrocraft
American Flag on Pole,HCFlagpoleamerican,B41 Beta,Normal,Flags,Hydrocraft
American History Textbook,HCBookamericanhistory,B41 Beta,Literature,Books,Hydrocraft
Amethyst,HCAmethyst,B41 Beta,Normal,Gems,Hydrocraft
Ammo Straps,AmmoStraps,41.1,WeaponPart,newitems,Classic
Ammonal Bag,HCAmmonal,B41 Beta,Normal,Alchemy,Hydrocraft
Ammonal Bomb Off,HCAmmonalbomboff,B41 Beta,Normal,Weapons Explosives,Hydrocraft
Ammonal Bomb On,HCAmmonalbombon,B41 Beta,Weapon,Weapons Explosives,Hydrocraft
Ammonal Chemical Research,HCBlueprintammonal,B41 Beta,Literature,Blueprints,Hydrocraft
Ammonal Tray,HCAmmonaltray,B41 Beta,Normal,Alchemy,Hydrocraft
Ammonia,HCAmmoniacanfull,B41 Beta,Drainable,Plastic Cans,Hydrocraft
Ammonia,HCGlassbottleammonia,B41 Beta,Drainable,Bottles,Hydrocraft
Ammonia Label,HCLabelammonia,B41 Beta,Normal,Labels,Hydrocraft
Amp,HCAmp,B41 Beta,Normal,Music,Hydrocraft
Amphibian Fieldguide,HCBookamphibianguide,B41 Beta,Literature,Books,Hydrocraft
Amplifier,Amplifier,41.1,Normal,newitems,Classic
Anarchist Cookbook,HCBookanarchist,B41 Beta,Literature,Books,Hydrocraft
Anarchist Cookbook,HCBookanarchistpn02,B41 Beta,Literature,Books,Hydrocraft
Anarchist Cookbook with Private Note,HCBookanarchisthmtd,B41 Beta,Literature,Books,Hydrocraft
Anarchist Cookbook with Private Note,HCBookanarchistammonal,B41 Beta,Literature,Books,Hydrocraft
Anarchist Flag on Pole,HCFlagpoleanarchist,B41 Beta,Normal,Flags,Hydrocraft
Anatomy Textbook,HCBookanatomy,B41 Beta,Literature,Books,Hydrocraft
Ancient Birch Tree,HCBirch6,B41 Beta,Normal,Trees,Hydrocraft
Ancient Fir Tree,HCFir6,B41 Beta,Normal,Trees,Hydrocraft
Ancient Oak Tree,HCOak6,B41 Beta,Normal,Trees,Hydrocraft
Anemome Tea,HCAnemometeamug,B41 Beta,Food,Herbalism,Hydrocraft
Anemome Tea,HCAnemometeaclaymug,B41 Beta,Food,Herbalism,Hydrocraft
Anemone,HCAnemome,B41 Beta,Normal,Foraging,Hydrocraft
Angler USA Magazine Vol. 1,FishingMag1,41.1,Literature,items_literature,Classic
Angler USA Magazine Vol. 2,FishingMag2,41.1,Literature,items_literature,Classic
Animal Husbandry Textbook,HCBookanimalhusbandry,B41 Beta,Literature,Books,Hydrocraft
Animal Print Strapless Bra,Bra_Strapless_AnimalPrint,41.1,Clothing,clothing/clothing_underwear,Classic
Animal Print Straps Bra,Bra_Straps_AnimalPrint,41.1,Clothing,clothing/clothing_underwear,Classic
Animal Print Underpants,Underpants_AnimalPrint,41.1,Clothing,clothing/clothing_underwear,Classic
Anthropology Textbook,HCBookanthropology,B41 Beta,Literature,Books,Hydrocraft
Anti-Depression Medical Research,HCBlueprintantidepression,B41 Beta,Literature,Blueprints,Hydrocraft
Anti-Depression Pills,HCAntideppill,B41 Beta,Food,Medical,Hydrocraft
Antibiotics,Antibiotics,41.1,Food,newitems,Classic
Antibiotics Medical Research,HCBlueprintantibiotics,B41 Beta,Literature,Blueprints,Hydrocraft
Antidepressants,PillsAntiDep,41.1,Drainable,items,Classic
Antique Television,TvAntique,41.1,Radio,items_radio,Classic
Antlers Boppers,Hat_Antlers,41.1,Clothing,clothing/clothing_hats,Classic
Anvil Mold,HCAnvilmold,B41 Beta,Drainable,Pottery,Hydrocraft
Apiculture Textbook,HCBookapiculture,B41 Beta,Literature,Books,Hydrocraft
Apple,Apple,41.1,Food,items_food,Classic
Apple Candy,HCCandyapple,B41 Beta,Food,Food Candy,Hydrocraft
Apple Cider,HCApplecider,B41 Beta,Food,Food Drinks,Hydrocraft
Apple Jello Cubes,HCJelloapplecubes,B41 Beta,Food,Food Gelatin,Hydrocraft
Apple Jello Dessert,HCJelloapplebowl,B41 Beta,Food,Food Gelatin,Hydrocraft
Apple Jello Mold,HCJelloapple1cold,B41 Beta,Food,Food Gelatin,Hydrocraft
Apple Jello Packet,HCJellopacketapple,B41 Beta,Food,Food Gelatin,Hydrocraft
Apple Juice,HCWhiskeyapplejuice,B41 Beta,Food,Food Juice,Hydrocraft
Apple Juice,HCClingmugapplejuice,B41 Beta,Food,Food Juice,Hydrocraft
Apple Juice,HCPopbottleapplejuice,B41 Beta,Food,Food Juice,Hydrocraft
Apple Juice,HCRemouladeapplejuice,B41 Beta,Food,Food Juice,Hydrocraft
Apple Juice,HCMayonnaiseapplejuice,B41 Beta,Food,Food Juice,Hydrocraft
Apple Juice,HCWaterbottleapplejuice,B41 Beta,Food,Food Juice,Hydrocraft
Apple Juice Box,HCJuiceboxapple,B41 Beta,Food,Food Juice,Hydrocraft
Apple Pie,HCPieapple,B41 Beta,Food,Food Pies,Hydrocraft
Apple Seeds,HCAppleseeds,B41 Beta,Normal,Seeds,Hydrocraft
Apple Seeds Packet,HCAppleseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Applejack,HCApplejack,B41 Beta,Food,Food Bar,Hydrocraft
Appliance Repair Manual,HCBookjunk,B41 Beta,Literature,Books,Hydrocraft
Apricot,HCApricot,B41 Beta,Food,Food Fruit,Hydrocraft
Apricot Seeds,HCApricotseeds,B41 Beta,Normal,Seeds,Hydrocraft
Apricot Seeds Packet,HCApricotseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
Apron,Apron_Black,41.1,Clothing,clothing/clothing_others,Classic
Apron,Apron_White,41.1,Clothing,clothing/clothing_others,Classic
Apron,Apron_Random,41.1,Clothing,clothing/clothing_others,Classic
Arabic Textbook,HCBookarabic,B41 Beta,Literature,Books,Hydrocraft
Arc Furnace,HCFurnacearc,B41 Beta,Normal,Industrial,Hydrocraft
Arc Furnace,HCFurnacearc2,B41 Beta,Container,Industrial,Hydrocraft
Archeology Textbook,HCBookarcheology,B41 Beta,Literature,Books,Hydrocraft
Archery Target,HCHaytarget,B41 Beta,Normal,Carpentry,Hydrocraft
Archery Textbook,HCBookarchery,B41 Beta,Literature,Books,Hydrocraft
Archist Flag,HCFlaganarchist,B41 Beta,Normal,Flags,Hydrocraft
Arm Sling,HCArmsling,B41 Beta,Normal,Medical,Hydrocraft
Armadillo (Female),HCArmadillofemale,B41 Beta,Normal,Hunting,Hydrocraft
Armadillo (Male),HCArmadillomale,B41 Beta,Normal,Hunting,Hydrocraft
Armadillo Carcass,HCArmadillomeat,B41 Beta,Food,Food Meat,Hydrocraft
Armor Crafting Textbook,HCBookarmorcrafting,B41 Beta,Literature,Books,Hydrocraft
Army Baseball Cap,Hat_BaseballCapArmy,41.1,Clothing,clothing/clothing_hats,Classic
Army Baseball Cap,Hat_BaseballCapArmy_Reverse,41.1,Clothing,clothing/clothing_hats,Classic
Army Beret,Hat_BeretArmy,41.1,Clothing,clothing/clothing_hats,Classic
Army Coat,Jacket_CoatArmy,41.1,Clothing,clothing/clothing_jacket,Classic
Army Pants,Trousers_ArmyService,41.1,Clothing,clothing/clothing_pants,Classic
Arrow Head Mold,HCArrowheadMold,B41 Beta,Drainable,Pottery,Hydrocraft
Arrowroot,HCArrowroot,B41 Beta,Food,Food Condiments,Hydrocraft
Arrows,HCArrow,B41 Beta,Normal,Weapon Ranged,Hydrocraft
Arrowwood Berry,HCArrowwoodberry,B41 Beta,Food,Foraging,Hydrocraft
Art History Textbook,HCBookarthistory,B41 Beta,Literature,Books,Hydrocraft
Artichoke,HCArtichoke,B41 Beta,Food,Food Vegetables,Hydrocraft
Artichoke Packet,HCArtichokesseedspacket,B41 Beta,Normal,Seeds,Hydrocraft
